"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"8/2/2022","SUBWAY","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($0.33)"
"8/2/2022","SUBWAY","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($11.02)"
"8/2/2022","JPMORGAN CHASE EXT TRNSFR FUTURE AMOUNT TRAN ACHSD","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Transfers","No","No","$400"
"8/2/2022","ODP TRANSFER TO CHECKING","Chase - via Direct Web API","CHASE SAVINGS","Transfers","No","No","($1139.56)"
"8/2/2022","PALMS ASSOCIATES RENTAL PPD ID","Chase - via Direct Web API","CHASE CHECKING","Rent","No","No","($1544.26)"
"8/2/2022","ODP TRANSFER FROM SAVINGS","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","$1139.56"
"8/1/2022","LEMONADE I LEMONADE I","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($6.17)"
"8/1/2022","PAYPAL INST XFER SKILLSHARE WEB ID","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","($165)"
"7/31/2022","KRISPY KREME","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($5.63)"
"7/31/2022","INTEREST PAID","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Interest Income","No","No","$23.06"
"7/30/2022","SCHWAB BROKERAGE MONEYLINK WEB ID","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","($300)"
"7/29/2022","KFC","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($23.95)"
"7/29/2022","INTEREST PAID","Charles Schwab US","CHARLES SCHWAB CHECKING","Interest Income","No","No","$0.09"
"7/29/2022","ONLINE TRANSFER TO SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","($400)"
"7/29/2022","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($600)"
"7/29/2022","DISCOVER EPAYMENT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($338.66)"
"7/29/2022","CHASE CREDIT CRD AUTOPAY PPD ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($158.88)"
"7/29/2022","PANERA SUBD O","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($9.95)"
"7/29/2022","AMAZON.COM","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($14.32)"
"7/28/2022","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$600"
"7/28/2022","EXXONMOBIL VIRGINIA BEACVA","Discover Credit Card - via Direct Web Access","DISCOVER","Gas & Fuel","No","No","($30.07)"
"7/28/2022","DIRECTPAY FULL BALANCE","Discover Credit Card - via Direct Web Access","DISCOVER","Income","No","No","$338.66"
"7/28/2022","AUTOMATIC PAYMENT THANK","Chase - via Direct Web API","CHASE FREEDOM","Credit Card Payment","No","No","$158.88"
"7/27/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($2.1)"
"7/26/2022","SUBWAY","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($11.02)"
"7/26/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.5)"
"7/26/2022","AMERICAN EXPRESS PMT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($975.86)"
"7/25/2022","FUNDS TRANSFER TO BROKERAGE","Charles Schwab US","CHARLES SCHWAB CHECKING","Transfers","No","No","($3000)"
"7/25/2022","REMITLY INC REMITTANCE WEB ID","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","($2999)"
"7/25/2022","AMZN MKTP US","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($7.4)"
"7/24/2022","FOOD LION","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($15.61)"
"7/23/2022","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","$400"
"7/23/2022","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE CHECKING","Savings","No","No","($400)"
