,Transaction Date,Description,Institution,Account,Category,Is Hidden,Is Pending,Amount,Standardized Description,Master Category
2235,2023-07-21,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2236,2023-07-19,DUNKIN,Chase - via Direct Web API,CHASE FREEDOM,COFFEE,No,No,-2.69,DUNKIN,FOOD AND DINING
2237,2023-07-19,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2238,2023-07-19,INTEREST PAYMENT,Chase - via Direct Web API,CHASE SAVINGS,INTEREST INCOME,No,No,0.04,INTEREST PAYMENT,INCOME
2239,2023-07-18,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-2.61,HELLO INDIA,FOOD AND DINING
2240,2023-07-18,TARGET,Chase - via Direct Web API,CHASE FREEDOM,SHOPPING,No,No,-10.91,TARGET,SHOPPING/GROCERIES
2241,2023-07-18,APLPAY STARBUCKS WA,American Express - Amex Account - via Direct Web Access,AMEX,COFFEE,No,No,-10.0,STARBUCKS,FOOD AND DINING
2242,2023-07-16,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-3.0,HELLO INDIA,FOOD AND DINING
2243,2023-07-16,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2244,2023-07-16,BAWARCHI EXPRESS,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-17.27,BAWARCHI EXPRESS,FOOD AND DINING
2245,2023-07-16,AMAZON.COM AMZN.COM BILLWA,Discover Credit Card - via Direct Web Access,DISCOVER,SHOPPING,No,No,-86.59,AMAZON,SHOPPING/GROCERIES
