"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"1/6/2024","ATT UVERSE PAYMENT TX","American Express - Amex Account - via Direct Web Access","AMEX","Phone, Internet & Cable","No","No","($55.58)"
"1/5/2024","SARAVANAA BHAVAN PLANO","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($17.95)"
"1/5/2024","PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Gas & Fuel","No","No","($40.58)"
"1/5/2024","DUNKIN PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($2.69)"
"1/5/2024","ZELLE PAYMENT TO REILLY","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","($45)"
"1/4/2024","WALMART SC PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($92.55)"
"1/4/2024","APLPAY STARBUCKS WA","American Express - Amex Account - via Direct Web Access","AMEX","Coffee","No","No","($10)"
"1/4/2024","KABILAN BASKARAN IAT PAYPAL WEB ID","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","($33)"
"1/3/2024","ZELLE PAYMENT TO HEMAL","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","($60)"
"1/3/2024","DUNKIN PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($5.6)"
"1/3/2024","AUTOMATIC STATEMENT CREDIT","Discover Credit Card - via Direct Web Access","DISCOVER","Income","No","No","$23.13"
"1/2/2024","APPLECARD GSBANK PAYMENT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($155.52)"
"1/2/2024","BELL WEB PMTS MSCHF WEB ID","Chase - via Direct Web API","CHASE CHECKING","Rent","No","No","($1394.76)"
"1/1/2024","DOMINOS","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($14.71)"
"1/1/2024","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($3.61)"
"12/31/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($2.99)"
"12/31/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($94.85)"
"12/31/2023","VIVEK FLOWERS FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Gifts","No","No","($34.64)"
"12/31/2023","TARGET FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($88.95)"
"12/31/2023","INTEREST PAID","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Interest Income","No","No","$72.44"
"12/30/2023","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","$400"
"12/30/2023","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE CHECKING","Savings","No","No","($400)"
"12/30/2023","SCHWAB BROKERAGE MONEYLINK WEB ID","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","($350)"
"12/30/2023","GAYLORD TEXAN F&B","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($12.77)"
"12/30/2023","SQ TRAVELIN TOMS CO","Chase - via Direct Web API","CHASE FREEDOM","Travel & Vacation","No","No","($11.9)"
"12/30/2023","PANERA BREAD K FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($2.8)"
"12/30/2023","NTTA AUTOCHARGE TX","Discover Credit Card - via Direct Web Access","DISCOVER","Tolls","No","No","($10)"
"12/30/2023","GAYLORDTEXANRSRTCONGRAPEVINE TX","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($27.06)"
"12/29/2023","DUNKIN","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($5.99)"
"12/29/2023","SARAVANAA BHAVAN PLANO","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($19.83)"
"12/29/2023","VIVEK FLOWERS FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Gifts","No","No","($22.73)"
"12/29/2023","INTEREST PAID","Charles Schwab US","CHARLES SCHWAB CHECKING","Interest Income","No","No","$0.02"
"12/29/2023","TELADOC HEALTH I DIRECT DEP PPD ID","Chase - via Direct Web API","CHASE CHECKING","Income","No","No","$3528.11"
"12/29/2023","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($300)"
"12/29/2023","CHASE CREDIT CRD AUTOPAY PPD ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($212.54)"
"12/29/2023","DISCOVER EPAYMENT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($1618.32)"
"12/28/2023","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$300"
"12/28/2023","DIRECTPAY FULL BALANCE","Discover Credit Card - via Direct Web Access","DISCOVER","Income","No","No","$1618.32"
"12/28/2023","AUTOMATIC PAYMENT THANK","Chase - via Direct Web API","CHASE FREEDOM","Credit Card Payment","No","No","$212.54"
"12/27/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($54.48)"
"12/27/2023","AMAZON.COM AMZN.COM BILLWA","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($21.97)"
"12/26/2023","WM SUPERCENTER","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","$56.69"
"12/26/2023","WALMART","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($178.63)"
"12/26/2023","APLPAY STARBUCKS WA","American Express - Amex Account - via Direct Web Access","AMEX","Coffee","No","No","($10)"
"12/26/2023","AUTOPAY PAYMENT THANK YOU","American Express - Amex Account - via Direct Web Access","AMEX","Credit Card Payment","No","No","$76.1"
